CAMERA ID,TOTAL_VIOLATIONS_2023,INTERSECTION,LATITUDE,LONGITUDE
1663.0,4202,DAMEN AND FULLERTON,41.92513494375,-87.67796354554
1671.0,4608,WESTERN AND FULLERTON,41.92493594409,-87.68779025471
1672.0,788,WESTERN AND FULLERTON,41.92493594409,-87.68779025471
1682.0,806,CENTRAL AND ADDISON,41.94591949056,-87.76690459426
1683.0,907,CENTRAL AND ADDISON,41.94598510431,-87.76687995166
1691.0,1959,CICERO AND DIVERSEY,41.93157560845,-87.74674330114
1694.0,503,CICERO AND DIVERSEY,41.93164142041,-87.74671991065
1701.0,1761,HALSTED AND FULLERTON,41.92554031543,-87.64891215551
1704.0,2891,HALSTED AND FULLERTON,41.92556279107,-87.64882364145
1711.0,1458,HALSTED AND DIVISION,41.90369830765,-87.64824535063
1714.0,1761,HALSTED AND DIVISION,41.90374555735,-87.64816701063
1721.0,6803,CORTLAND AND ASHLAND,41.91614728095,-87.6679473535
1723.0,2044,CORTLAND AND ASHLAND,41.91623533747,-87.66783777213
1733.0,2811,DIVISION AND DAMEN,41.90329879268,-87.6773832474
1734.0,2670,DIVISION AND DAMEN,41.90329879268,-87.6773832474
1742.0,3794,CENTRAL AND LAKE,41.88780462053,-87.7652684981
1743.0,1963,CENTRAL AND LAKE,41.88783873533,-87.76518366338
1761.0,1610,HALSTED AND NORTH,41.91094064392,-87.64841904273
1764.0,2051,HALSTED AND NORTH,41.91102850981,-87.64833580602
1773.0,2561,HOMAN/KIMBALL AND NORTH,41.9101628468,-87.71195386769
1781.0,1920,CICERO AND CHICAGO,41.89504903796,-87.74595551627
1783.0,1977,CICERO AND CHICAGO,41.89511221858,-87.74593242702
1791.0,3538,ASHLAND AND DIVISION,41.90337746757,-87.66764314227
1793.0,893,ASHLAND AND DIVISION,41.90345531648,-87.66755899397
1801.0,1640,PULASKI AND DIVISION,41.90271390194,-87.72645145716
1802.0,1726,PULASKI AND DIVISION,41.90271390194,-87.72645145716
1812.0,1619,SACRAMENTO AND CHICAGO,41.89564071388,-87.70235232767
1814.0,3563,SACRAMENTO AND CHICAGO,41.89570452495,-87.70221852354
1821.0,1380,SACRAMENTO AND LAKE,41.88401217771,-87.70143647867
1822.0,3209,SACRAMENTO AND LAKE,41.88401217771,-87.70143647867
1832.0,3946,KEDZIE AND ARMITAGE,41.91744617192,-87.70711607188
1834.0,941,KEDZIE AND ARMITAGE,41.91751102292,-87.70705363888
1843.0,2109,PULASKI AND ARMITAGE,41.91727506941,-87.72662274645
1844.0,885,PULASKI AND ARMITAGE,41.91727506941,-87.72662274645
1851.0,1002,WESTERN AND NORTH,41.91040902363,-87.6873702684
1853.0,1269,WESTERN AND NORTH,41.91042986236,-87.68728422051
1871.0,918,HALSTED AND MADISON,41.88171705562,-87.64721053921
1872.0,2111,HALSTED AND MADISON,41.88181563164,-87.64721471704
1881.0,4049,HAMLIN AND LAKE,41.88528263581,-87.72106953855
1882.0,1137,HAMLIN AND LAKE,41.88528263581,-87.72106953855
1891.0,7681,CICERO AND WASHINGTON,41.88187970992,-87.7454892473
1892.0,5053,CICERO AND WASHINGTON,41.88187970992,-87.7454892473
1901.0,1120,HAMLIN AND MADISON,41.88084147694,-87.72090218458
1903.0,2773,HAMLIN AND MADISON,41.88089727349,-87.72088122614
1911.0,2720,ASHLAND AND MADISON,41.88149872916,-87.66695122185
1914.0,271,ASHLAND AND MADISON,41.88156416702,-87.66692946295
1921.0,3250,LASALLE AND KINZIE,41.88922537162,-87.63267411498
1923.0,555,LASALLE AND KINZIE,41.88929721947,-87.63260164817
1931.0,2777,MADISON AND WESTERN,41.88111827883,-87.68628333887
1934.0,1316,MADISON AND WESTERN,41.88127050429,-87.68653594017
1941.0,574,WESTERN AND CHICAGO,41.89578695485,-87.68699058611
1943.0,1293,WESTERN AND CHICAGO,41.89585104112,-87.68696893468
1951.0,2798,COLUMBUS AND ILLINOIS,41.89104456912,-87.62037183907
1952.0,256,COLUMBUS AND ILLINOIS,41.89104456912,-87.62037183907
1963.0,3341,CHICAGO AND CLARK,41.89674434688,-87.63132124815
1964.0,1723,CHICAGO AND CLARK,41.89674434688,-87.63132124815
1972.0,4781,CENTRAL AND CHICAGO,41.8948965794,-87.76554325846
1973.0,1966,CENTRAL AND CHICAGO,41.8949622935,-87.76546079123
1982.0,1227,PULASKI AND CHICAGO,41.89545645683,-87.72623054051
1983.0,2043,PULASKI AND CHICAGO,41.89547675164,-87.72614435992
1992.0,959,PULASKI AND NORTH,41.90997501024,-87.72648052307
1994.0,1054,PULASKI AND NORTH,41.90999558161,-87.72639469321
2001.0,1061,CICERO AND ARMITAGE,41.91697332451,-87.74626022251
2003.0,491,CICERO AND ARMITAGE,41.91704199202,-87.74617609465
2011.0,1298,KOSTNER AND NORTH,41.90978830394,-87.73640466739
2012.0,2563,KOSTNER AND NORTH,41.9101814096,-87.73624887041
2013.0,7867,KOSTNER AND NORTH,41.9098635734,-87.73638029605
2022.0,3185,CICERO AND HARRISON,41.87309483252,-87.74514386885
2023.0,1533,CICERO AND HARRISON,41.87324546438,-87.74511717888
2033.0,2726,CICERO AND NORTH,41.90973389013,-87.74624497296
